countryid,NationalTeamName,FlagPath,FlagPathWeb
125,GUINEA,flags-normal/flag-of-Guinea.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Guinea.png
181,GUINEA BISSAU,,
99,GUYANA,flags-normal/flag-of-Guyana.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Guyana.png
100,HAITI,flags-normal/flag-of-Haiti.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Haiti.png
101,HONDURAS,flags-normal/flag-of-Honduras.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Honduras.png
31,HONG KONG,,
55,HUNGARY,flags-normal/flag-of-Hungary.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Hungary.png
81,ICELAND,flags-normal/flag-of-Iceland.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Iceland.png
43,INDIA,flags-normal/flag-of-India.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-India.png
39,INDONESIA,flags-normal/flag-of-Indonesia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Indonesia.png
17,IRAN,flags-normal/flag-of-Iran.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Iran.png
24,IRAQ,flags-normal/flag-of-Iraq.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Iraq.png
82,ISRAEL,flags-normal/flag-of-Israel.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Israel.png
57,ITALY,flags-normal/flag-of-Italy.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Italy.png
102,JAMAICA,flags-normal/flag-of-Jamaica.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Jamaica.png
18,JAPAN,flags-normal/flag-of-Japan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Japan.png
25,JORDAN,flags-normal/flag-of-Jordan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Jordan.png
87,KAZAKHSTAN,flags-normal/flag-of-Kazakhstan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Kazakhstan.png
136,KENYA,flags-normal/flag-of-Kenya.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Kenya.png
34,KOREA DPR,,
194,KOSOVO,flags-normal/flag-of-Kosovo.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Kosovo.png
26,KUWAIT,flags-normal/flag-of-Kuwait.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Kuwait.png
40,KYRGYZSTAN,flags-normal/flag-of-Kyrgyzstan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Kyrgyzstan.png
186,LAOS,flags-normal/flag-of-Laos.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Laos.png
58,LATVIA,flags-normal/flag-of-Latvia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Latvia.png
37,LEBANON,flags-normal/flag-of-Lebanon.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Lebanon.png
200,LESOTHO,flags-normal/flag-of-Lesotho.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Lesotho.png
149,LIBERIA,flags-normal/flag-of-Liberia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Liberia.png
126,LIBYA,flags-normal/flag-of-Libya.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Libya.png
89,LIECHTENSTEIN,flags-normal/flag-of-Liechtenstein.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Liechtenstein.png
83,LITHUANIA,flags-normal/flag-of-Lithuania.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Lithuania.png
152,LUXEMBOURG,flags-normal/flag-of-Luxembourg.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Luxembourg.png
160,MACAU,,
182,MADAGASCAR,flags-normal/flag-of-Madagascar.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Madagascar.png
146,MALAWI,flags-normal/flag-of-Malawi.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Malawi.png
151,MALAYSIA,flags-normal/flag-of-Malaysia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Malaysia.png
162,MALDIVES,flags-normal/flag-of-Maldives.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Maldives.png
127,MALI,flags-normal/flag-of-Mali.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Mali.png
91,MALTA,flags-normal/flag-of-Malta.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Malta.png
214,MARTINIQUE,,
147,MAURITANIA,flags-normal/flag-of-Mauritania.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Mauritania.png
183,MAURITIUS,flags-normal/flag-of-Mauritius.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Mauritius.png
205,MAYOTTE,,
93,MEXICO,flags-normal/flag-of-Mexico.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Mexico.png
85,MOLDOVA,flags-normal/flag-of-Moldova.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Moldova.png
189,MONGOLIA,flags-normal/flag-of-Mongolia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Mongolia.png
184,MONTENEGRO,flags-normal/flag-of-Montenegro.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Montenegro.png
216,MONTSERRAT,,
128,MOROCCO,flags-normal/flag-of-Morocco.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Morocco.png
134,MOZAMBIQUE,flags-normal/flag-of-Mozambique.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Mozambique.png
188,MYANMAR,flags-normal/flag-of-Myanmar.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Myanmar.png
142,NAMIBIA,flags-normal/flag-of-Namibia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Namibia.png
158,NEPAL,flags-normal/flag-of-Nepal.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Nepal.png
59,NETHERLANDS,flags-normal/flag-of-Netherlands.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Netherlands.png
12,NEW CALEDONIA,,
11,NEW ZEALAND,flags-normal/flag-of-New-Zealand.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-New-Zealand.png
176,NICARAGUA,flags-normal/flag-of-Nicaragua.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Nicaragua.png
196,NIGER,flags-normal/flag-of-Niger.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Niger.png
113,NIGERIA,flags-normal/flag-of-Nigeria.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Nigeria.png
84,NORTH MACEDONIA,flags-normal/flag-of-North-Macedonia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-North-Macedonia.png
60,NORTHERN IRELAND,,
224,NORTHERN MARIANA ISLANDS,,
61,NORWAY,flags-normal/flag-of-Norway.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Norway.png
27,OMAN,flags-normal/flag-of-Oman.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Oman.png
165,PAKISTAN,flags-normal/flag-of-Pakistan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Pakistan.png
225,PALAU,flags-normal/flag-of-Palau.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Palau.png
