countryid,teamName,countryCode,teamNameClean,teamNameCleanAll,FlagPath,FlagPathWeb,filename_x
79,Cyprus,CYP,cyprus,cyprus,flags-normal/flag-of-Cyprus.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Cyprus.png,flag-of-Cyprus.png
48,Czech Republic,CZE,czechia,czechia,flags-normal/flag-of-Czech-Republic.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Czech-Republic.png,flag-of-Czech-Republic.png
49,Denmark,DEN,denmark,denmark,flags-normal/flag-of-Denmark.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Denmark.png,flag-of-Denmark.png
203,Djibouti,DJI,djibouti,djibouti,flags-normal/flag-of-Djibouti.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Djibouti.png,flag-of-Djibouti.png
170,Dominica,DMA,dominica,dominica,flags-normal/flag-of-Dominica.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Dominica.png,flag-of-Dominica.png
171,Dominican Republic,DOM,dominican republic,dominicanrepublic,flags-normal/flag-of-Dominican-Republic.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Dominican-Republic.png,flag-of-Dominican-Republic.png
121,Dr Congo,COD,dr congo,drcongo,flags-normal/flag-of-Congo-Democratic-Republic-of.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Congo-Democratic-Republic-of.png,flag-of-Congo-Democratic-Republic-of.png
5,Ecuador,ECU,ecuador,ecuador,flags-normal/flag-of-Ecuador.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Ecuador.png,flag-of-Ecuador.png
122,Egypt,EGY,egypt,egypt,flags-normal/flag-of-Egypt.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Egypt.png,flag-of-Egypt.png
107,El Salvador,SLV,el salvador,elsalvador,flags-normal/flag-of-El-Salvador.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-El-Salvador.png,flag-of-El-Salvador.png
50,England,ENG,england,england,flags-normal/flag-of-England.png,,flag-of-England.png
133,Equatorial Guinea,EQG,equatorial guinea,equatorialguinea,flags-normal/flag-of-Equatorial-Guinea.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Equatorial-Guinea.png,flag-of-Equatorial-Guinea.png
201,Eritrea,ERI,eritrea,eritrea,flags-normal/flag-of-Eritrea.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Eritrea.png,flag-of-Eritrea.png
