countryid,NationalTeamName,NationalTeamsNameFiltering,FlagPath,FlagPathWeb
152,LUXEMBOURG,luxembourg,flags-normal/flag-of-Luxembourg.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Luxembourg.png
160,MACAU,macau,,
182,MADAGASCAR,madagascar,flags-normal/flag-of-Madagascar.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Madagascar.png
146,MALAWI,malawi,flags-normal/flag-of-Malawi.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Malawi.png
151,MALAYSIA,malaysia,flags-normal/flag-of-Malaysia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Malaysia.png
162,MALDIVES,maldives,flags-normal/flag-of-Maldives.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Maldives.png
127,MALI,mali,flags-normal/flag-of-Mali.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Mali.png
91,MALTA,malta,flags-normal/flag-of-Malta.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Malta.png
214,MARTINIQUE,martinique,,
147,MAURITANIA,mauritania,flags-normal/flag-of-Mauritania.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Mauritania.png
183,MAURITIUS,mauritius,flags-normal/flag-of-Mauritius.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Mauritius.png
205,MAYOTTE,mayotte,,
93,MEXICO,mexico,flags-normal/flag-of-Mexico.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Mexico.png
85,MOLDOVA,moldova,flags-normal/flag-of-Moldova.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Moldova.png
189,MONGOLIA,mongolia,flags-normal/flag-of-Mongolia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Mongolia.png
184,MONTENEGRO,montenegro,flags-normal/flag-of-Montenegro.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Montenegro.png
216,MONTSERRAT,montserrat,,
128,MOROCCO,morocco,flags-normal/flag-of-Morocco.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Morocco.png
134,MOZAMBIQUE,mozambique,flags-normal/flag-of-Mozambique.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Mozambique.png
188,MYANMAR,myanmar,flags-normal/flag-of-Myanmar.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Myanmar.png
142,NAMIBIA,namibia,flags-normal/flag-of-Namibia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Namibia.png
158,NEPAL,nepal,flags-normal/flag-of-Nepal.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Nepal.png
59,NETHERLANDS,netherlands,flags-normal/flag-of-Netherlands.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Netherlands.png
12,NEW CALEDONIA,newcaledonia,,
11,NEW ZEALAND,newzealand,flags-normal/flag-of-New-Zealand.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-New-Zealand.png
176,NICARAGUA,nicaragua,flags-normal/flag-of-Nicaragua.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Nicaragua.png
196,NIGER,niger,flags-normal/flag-of-Niger.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Niger.png
113,NIGERIA,nigeria,flags-normal/flag-of-Nigeria.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Nigeria.png
84,NORTH MACEDONIA,northmacedonia,flags-normal/flag-of-North-Macedonia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-North-Macedonia.png
60,NORTHERN IRELAND,northernireland,,
224,NORTHERN MARIANA ISLANDS,northernmarianaislands,,
61,NORWAY,norway,flags-normal/flag-of-Norway.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Norway.png
27,OMAN,oman,flags-normal/flag-of-Oman.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Oman.png
165,PAKISTAN,pakistan,flags-normal/flag-of-Pakistan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Pakistan.png
225,PALAU,palau,flags-normal/flag-of-Palau.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Palau.png
185,PALESTINE,palestine,flags-normal/flag-of-Palestine.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Palestine.png
103,PANAMA,panama,flags-normal/flag-of-Panama.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Panama.png
156,PAPUA NEW GUINEA,papuanewguinea,flags-normal/flag-of-Papua-New-Guinea.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Papua-New-Guinea.png
6,PARAGUAY,paraguay,flags-normal/flag-of-Paraguay.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Paraguay.png
7,PERU,peru,flags-normal/flag-of-Peru.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Peru.png
159,PHILIPPINES,philippines,flags-normal/flag-of-Philippines.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Philippines.png
62,POLAND,poland,flags-normal/flag-of-Poland.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Poland.png
63,PORTUGAL,portugal,flags-normal/flag-of-Portugal.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Portugal.png
168,PUERTO RICO,puertorico,,
28,QATAR,qatar,flags-normal/flag-of-Qatar.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Qatar.png
56,Ireland,ireland,flags-normal/flag-of-Ireland.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Ireland.png
206,REUNION,reunion,,
64,ROMANIA,romania,flags-normal/flag-of-Romania.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Romania.png
65,RUSSIA,russia,flags-normal/flag-of-Russia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Russia.png
144,RWANDA,rwanda,flags-normal/flag-of-Rwanda.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Rwanda.png
217,SAINT MARTIN,saintmartin,,
16,SAMOA,samoa,flags-normal/flag-of-Samoa.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Samoa.png
166,SAN MARINO,sanmarino,flags-normal/flag-of-San-Marino.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-San-Marino.png
207,SAO TOME AND PRINCIPE,saotomeandprincipe,flags-normal/flag-of-Sao-Tome-and-Principe.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Sao-Tome-and-Principe.png
19,SAUDI ARABIA,saudiarabia,flags-normal/flag-of-Saudi-Arabia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Saudi-Arabia.png
66,SCOTLAND,scotland,,
129,SENEGAL,senegal,flags-normal/flag-of-Senegal.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Senegal.png
67,SERBIA,serbia,flags-normal/flag-of-Serbia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Serbia.png
198,SEYCHELLES,seychelles,flags-normal/flag-of-Seychelles.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Seychelles.png
123,SIERRA LEONE,sierraleone,flags-normal/flag-of-Sierra-Leone.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Sierra-Leone.png
36,SINGAPORE,singapore,flags-normal/flag-of-Singapore.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Singapore.png
218,SINT MAARTEN,sintmaarten,,
68,SLOVAKIA,slovakia,flags-normal/flag-of-Slovakia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Slovakia.png
69,SLOVENIA,slovenia,flags-normal/flag-of-Slovenia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Slovenia.png
13,SOLOMON ISLANDS,solomonislands,flags-normal/flag-of-Solomon-Islands.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Solomon-Islands.png
202,SOMALIA,somalia,flags-normal/flag-of-Somalia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Somalia.png
114,SOUTH AFRICA,southafrica,flags-normal/flag-of-South-Africa.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-South-Africa.png
20,SOUTH KOREA,southkorea,flags-normal/flag-of-Korea-South.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Korea-South.png
208,SOUTH SUDAN,southsudan,flags-normal/flag-of-South-Sudan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-South-Sudan.png
70,SPAIN,spain,flags-normal/flag-of-Spain.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Spain.png
163,SRI LANKA,srilanka,flags-normal/flag-of-Sri-Lanka.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Sri-Lanka.png
169,Saint Kitts and Nevis,saintkittsandnevis,flags-normal/flag-of-St-Kitts-Nevis.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-St-Kitts-Nevis.png
180,Saint Lucia,saintlucia,flags-normal/flag-of-St-Lucia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-St-Lucia.png
104,Saint Vincent and the Grenadines,saintvincentandthegrenadines,flags-normal/flag-of-St-Vincent-the-Grenadines.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-St-Vincent-the-Grenadines.png
139,SUDAN,sudan,flags-normal/flag-of-Sudan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Sudan.png
179,SURINAME,suriname,flags-normal/flag-of-Suriname.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Suriname.png
71,SWEDEN,sweden,flags-normal/flag-of-Sweden.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Sweden.png
72,SWITZERLAND,switzerland,flags-normal/flag-of-Switzerland.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Switzerland.png
32,SYRIA,syria,flags-normal/flag-of-Syria.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Syria.png
154,TAHITI,tahiti,,
41,TAJIKISTAN,tajikistan,flags-normal/flag-of-Tajikistan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Tajikistan.png
138,TANZANIA,tanzania,flags-normal/flag-of-Tanzania.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Tanzania.png
33,THAILAND,thailand,flags-normal/flag-of-Thailand.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Thailand.png
