countryid,NationalTeamName,NationalTeamsNameFiltering,FlagPath,FlagPathWeb,filename_x,filename_y,countrynameextract
111,Cote dIvoire,cotedivoire,flags-normal/flag-of-Cote-d-Ivoire.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Cote-d-Ivoire.png,flag-of-Cote-d-Ivoire.png,flag-of-Cote-d-Ivoire.png,cotedivoire
47,CROATIA,croatia,flags-normal/flag-of-Croatia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Croatia.png,flag-of-Croatia.png,flag-of-Croatia.png,croatia
97,CUBA,cuba,flags-normal/flag-of-Cuba.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Cuba.png,flag-of-Cuba.png,flag-of-Cuba.png,cuba
177,CURACAO,curacao,flags-normal/flag-of-Curacao.png,,flag-of-Curacao.png,flag-of-Curacao.png,curacao
79,CYPRUS,cyprus,flags-normal/flag-of-Cyprus.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Cyprus.png,flag-of-Cyprus.png,flag-of-Cyprus.png,cyprus
48,Czechia,czechia,flags-normal/flag-of-Czech-Republic.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Czech-Republic.png,flag-of-Czech-Republic.png,,
49,DENMARK,denmark,flags-normal/flag-of-Denmark.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Denmark.png,flag-of-Denmark.png,flag-of-Denmark.png,denmark
203,DJIBOUTI,djibouti,flags-normal/flag-of-Djibouti.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Djibouti.png,flag-of-Djibouti.png,flag-of-Djibouti.png,djibouti
170,DOMINICA,dominica,flags-normal/flag-of-Dominica.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Dominica.png,flag-of-Dominica.png,flag-of-Dominica.png,dominica
171,DOMINICAN REPUBLIC,dominicanrepublic,flags-normal/flag-of-Dominican-Republic.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Dominican-Republic.png,flag-of-Dominican-Republic.png,flag-of-Dominican-Republic.png,dominicanrepublic
121,Congo Democratic Republic of the,congodemocraticrepublicofthe,flags-normal/flag-of-Congo-Democratic-Republic-of.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Congo-Democratic-Republic-of.png,flag-of-Congo-Democratic-Republic-of.png,,
5,ECUADOR,ecuador,flags-normal/flag-of-Ecuador.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Ecuador.png,flag-of-Ecuador.png,flag-of-Ecuador.png,ecuador
122,EGYPT,egypt,flags-normal/flag-of-Egypt.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Egypt.png,flag-of-Egypt.png,flag-of-Egypt.png,egypt
107,EL SALVADOR,elsalvador,flags-normal/flag-of-El-Salvador.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-El-Salvador.png,flag-of-El-Salvador.png,flag-of-El-Salvador.png,elsalvador
